slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
quintayvious-hutchins,Quintayvious Hutchins,EDGE,Boston College Eagles,"- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
jack-kelly,Jack Kelly,LB,BYU,"- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
nate-boerkircher,Nate Boerkircher,TE,Texas A&M,"- Route-level efficiency is light for top projection tiers (YPRR 1.78).
- Target-earning rate (6.8% share) suggests volume translation risk against NFL coverage.
- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.78).
- Target-earning rate (6.8% share) suggests volume translation risk against NFL coverage.
- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
jeremiah-wright,Jeremiah Wright,IOL,Auburn,"- PFF grade 68.2 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 68.2 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
latrell-mccutchin-sr,Latrell McCutchin Sr.,CB,Houston,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
robert-spears-jennings,Robert Spears-Jennings,S,Oklahoma Sooners,"- PFF grade 58.9 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 58.9 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
namdi-obiazor,Namdi Obiazor,LB,TCU,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 71.5 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 71.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
faalili-faamoe,Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,"- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
jmari-taylor,J'Mari Taylor,RB,Virginia Cavaliers,"- Lack of explosive-run creation (10.9% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Lack of explosive-run creation (10.9% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
chris-mcclellan,Chris McClellan,DT,Missouri,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
donaven-mcculley,Donaven McCulley,WR,Michigan,"- PFF grade 66.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 66.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
reggie-virgil,Reggie Virgil,WR,Texas Tech,"- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
eric-gentry,Eric Gentry,LB,USC,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
aaron-anderson,Aaron Anderson,WR,LSU Tigers,"- Target-earning rate (15.8% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (15.8% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.",,,
chase-roberts,Chase Roberts,WR,BYU Cougars,"- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
robert-henry-jr,Robert Henry Jr.,RB,UTSA Roadrunners,"- PFF grade 74.2 suggests current performance volatility that needs film-confirmed cleanup.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- PFF grade 74.2 suggests current performance volatility that needs film-confirmed cleanup.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
malik-benson,Malik Benson,WR,Oregon,"- PFF grade 73.0 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 73.0 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
dj-rogers,DJ Rogers,TE,TCU,"- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
chris-adams,Chris Adams,OT,Memphis,"- PFF grade 67.4 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 67.4 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
ahmari-harvey,Ahmari Harvey,CB,Georgia Tech,"- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
vincent-anthony-jr,Vincent Anthony Jr.,EDGE,Duke Blue Devils,"- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- PFF grade 58.2 suggests current performance volatility that needs film-confirmed cleanup.","- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- PFF grade 58.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
miles-kitselman,Miles Kitselman,TE,Tennessee Volunteers,"- Route-level efficiency is light for top projection tiers (YPRR 1.71).
- Target-earning rate (10.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 63.5 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.71).
- Target-earning rate (10.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 63.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
jalon-daniels,Jalon Daniels,QB,Kansas Jayhawks,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
vj-payne,VJ Payne,S,Kansas State,"- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
josh-cameron,Josh Cameron,WR,Baylor Bears,"- Target-earning rate (17.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (17.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
kaden-wetjen,Kaden Wetjen,WR,Iowa,"- PFF grade 64.9 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 64.9 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
marvin-jones-jr,Marvin Jones Jr.,EDGE,Oklahoma,"- PFF grade 58.2 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 58.2 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
logan-fano,Logan Fano,EDGE,Utah Utes,"- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
david-gusta,David Gusta,DT,Kentucky,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
nyjalik-kelly,Nyjalik Kelly,EDGE,UCF,"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
evan-beerntsen,Evan Beerntsen,IOL,Northwestern,"- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
matthew-hibner,Matthew Hibner,TE,SMU,"- PFF grade 62.6 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- PFF grade 62.6 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
jam-miller,Jam Miller,RB,Alabama Crimson Tide,"- PFF grade 66.2 suggests current performance volatility that needs film-confirmed cleanup.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- PFF grade 66.2 suggests current performance volatility that needs film-confirmed cleanup.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
carver-willis,Carver Willis,OT,Washington,"- Play-mass profile is light for NFL tackle anchor demands against speed-to-power.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Play-mass profile is light for NFL tackle anchor demands against speed-to-power.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
will-kacmarek,Will Kacmarek,TE,Ohio State,"- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
caleb-douglas,Caleb Douglas,WR,Texas Tech,"- Target-earning rate (18.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.9 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (18.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
bryson-eason,Bryson Eason,DT,Tennessee,"- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
wesley-williams,Wesley Williams,EDGE,Duke,"- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
logan-taylor,Logan Taylor,IOL,Boston College,"- Short-area movement profile may limit recovery against interior stunts/games.
- PFF grade 70.0 suggests current performance volatility that needs film-confirmed cleanup.","- Short-area movement profile may limit recovery against interior stunts/games.
- PFF grade 70.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
febechi-nwaiwu,Febechi Nwaiwu,IOL,Oklahoma,"- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
mason-reiger,Mason Reiger,EDGE,Wisconsin Badgers,"- Total hurry volume (4.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (4.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
noah-whittington,Noah Whittington,RB,Oregon Ducks,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
diego-pavia,Diego Pavia,QB,Vanderbilt Commodores,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
scooby-williams,Scooby Williams,LB,Texas A&M Aggies,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
marcus-allen,Marcus Allen,CB,North Carolina,"- PFF grade 64.1 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 64.1 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
jalen-huskey,Jalen Huskey,S,Maryland Terrapins,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
lake-mcree,Lake McRee,TE,USC Trojans,"- Target-earning rate (11.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (11.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
nick-barrett,Nick Barrett,DT,South Carolina,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
alan-herron,Alan Herron,OT,Maryland,"- Lateral recovery movement is below ideal tackle threshold, which can stress pass-pro consistency.
- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.","- Lateral recovery movement is below ideal tackle threshold, which can stress pass-pro consistency.
- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
tj-hall,TJ Hall,CB,Iowa,"- Long-speed percentile is below ideal outside-CB threshold, increasing vertical stress risk.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Long-speed percentile is below ideal outside-CB threshold, increasing vertical stress risk.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
joshua-braun,Joshua Braun,IOL,Kentucky Wildcats,"- PFF grade 62.5 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 62.5 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
zavion-thomas,Zavion Thomas,WR,LSU Tigers,"- Target-earning rate (8.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.2 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (8.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 66.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
jordan-hudson,Jordan Hudson,WR,SMU,"- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
riley-nowakowski,Riley Nowakowski,TE,Indiana Hoosiers,"- Target-earning rate (9.4% share) suggests volume translation risk against NFL coverage.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Target-earning rate (9.4% share) suggests volume translation risk against NFL coverage.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
wesley-bissainthe,Wesley Bissainthe,LB,Miami (FL) Hurricanes,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 64.7 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 64.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
chris-hilton-jr,Chris Hilton Jr.,WR,LSU Tigers,"- Target-earning rate (4.0% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 51.6 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (4.0% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 51.6 suggests current performance volatility that needs film-confirmed cleanup.",,,
deven-eastern,Deven Eastern,DT,Minnesota Golden Gophers,"- Lower-body explosion is below preferred interior disruption threshold.
- PFF grade 67.3 suggests current performance volatility that needs film-confirmed cleanup.","- Lower-body explosion is below preferred interior disruption threshold.
- PFF grade 67.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
khalil-dinkins,Khalil Dinkins,TE,Penn State,"- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 56.2 suggests current performance volatility that needs film-confirmed cleanup.","- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 56.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
luke-altmyer,Luke Altmyer,QB,Illinois Fighting Illini,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
diego-pounds,Diego Pounds,OT,Mississippi,"- PFF grade 62.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 62.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
aidan-hubbard,Aidan Hubbard,EDGE,Northwestern,"- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 74.5 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
anez-cooper,Anez Cooper,IOL,Miami (FL),"- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
justin-jefferson,Justin Jefferson,LB,Alabama,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
rj-maryland,RJ Maryland,TE,SMU,"- Target-earning rate (8.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 62.4 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (8.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 62.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
emmanuel-henderson-jr,Emmanuel Henderson Jr.,WR,Kansas,"- PFF grade 70.9 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 70.9 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
xavian-sorey-jr,Xavian Sorey Jr.,LB,Arkansas Razorbacks,"- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 50.2 suggests current performance volatility that needs film-confirmed cleanup.","- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 50.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
vinny-anthony-ii,Vinny Anthony II,WR,Wisconsin Badgers,"- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 67.7 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
micah-morris,Micah Morris,IOL,Georgia Bulldogs,"- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 72.0 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
